Date,Close,Volume
1950-01-03,16.66,1260000
1950-01-04,16.85,1890000
1950-01-05,16.93,2550000
1950-01-06,16.98,2010000
1950-01-09,17.08,2520000
1950-01-10,17.03,2160000
1950-01-11,17.09,2630000
1950-01-12,16.76,2970000
1950-01-13,16.67,3330000
1950-01-16,16.72,1460000
1950-01-17,16.86,1790000
1950-01-18,16.85,1570000
1950-01-19,16.87,1170000
1950-01-20,16.90,1440000
1950-01-23,16.92,1340000
1950-01-24,16.86,1250000
1950-01-25,16.74,1700000
1950-01-26,16.73,1150000
1950-01-27,16.82,1250000
1950-01-30,17.02,1640000
1950-01-31,17.05,1690000
1950-02-01,17.05,1810000
1950-02-02,17.23,2040000
1950-02-03,17.29,2210000
1950-02-06,17.32,1490000
1950-02-07,17.23,1360000
1950-02-08,17.21,1470000
1950-02-09,17.28,1810000
1950-02-10,17.24,1790000
1950-02-14,17.06,2210000
1950-02-15,17.06,1730000
1950-02-16,16.99,1920000
1950-02-17,17.15,1940000
1950-02-20,17.20,1420000
1950-02-21,17.17,1260000
1950-02-23,17.21,1310000
1950-02-24,17.28,1710000
1950-02-27,17.28,1410000
1950-02-28,17.22,1310000
1950-03-01,17.24,1410000
1950-03-02,17.23,1340000
1950-03-03,17.29,1520000
1950-03-06,17.32,1470000
1950-03-07,17.20,1590000
1950-03-08,17.19,1360000
1950-03-09,17.07,1330000
1950-03-10,17.09,1260000
1950-03-13,17.12,1060000
1950-03-14,17.25,1140000
1950-03-15,17.45,1830000
1950-03-16,17.49,2060000
1950-03-17,17.45,1600000
1950-03-20,17.44,1430000
1950-03-21,17.45,1400000
1950-03-22,17.55,2010000
1950-03-23,17.56,2020000
1950-03-24,17.56,1570000
1950-03-27,17.46,1930000
1950-03-28,17.53,1780000
1950-03-29,17.44,2090000
1950-03-30,17.30,2370000
1950-03-31,17.29,1880000
1950-04-03,17.53,1570000
1950-04-04,17.55,2010000
1950-04-05,17.63,1430000
1950-04-06,17.78,2000000
1950-04-10,17.85,2070000
1950-04-11,17.75,2010000
1950-04-12,17.94,2010000
1950-04-13,17.98,2410000
1950-04-14,17.96,2750000
1950-04-17,17.88,2520000
1950-04-18,18.03,3320000
1950-04-19,18.05,2950000
1950-04-20,17.93,2590000
1950-04-21,17.96,2710000
1950-04-24,17.83,2310000
1950-04-25,17.83,1830000
1950-04-26,17.76,1880000
1950-04-27,17.86,2070000
1950-04-28,17.96,2190000
1950-05-01,18.22,2390000
1950-05-02,18.11,2250000
1950-05-03,18.27,2120000
1950-05-04,18.12,2150000
1950-05-05,18.22,1800000
1950-05-08,18.27,1680000
1950-05-09,18.27,1720000
1950-05-10,18.29,1880000
1950-05-11,18.29,1750000
1950-05-12,18.18,1790000
1950-05-15,18.26,1220000
1950-05-16,18.44,1730000
1950-05-17,18.52,2020000
1950-05-18,18.56,5240000
1950-05-19,18.68,2110000
1950-05-22,18.60,1620000
1950-05-23,18.71,1460000
1950-05-24,18.69,1850000
1950-05-25,18.69,1480000
1950-05-26,18.67,1330000
1950-05-29,18.72,1110000
1950-05-31,18.78,1530000
1950-06-01,18.77,1580000
1950-06-02,18.79,1450000
1950-06-05,18.60,1630000
1950-06-06,18.88,2250000
1950-06-07,18.93,1750000
1950-06-08,19.14,1780000
1950-06-09,19.26,2130000
1950-06-12,19.40,1790000
1950-06-13,19.25,1790000
1950-06-14,18.98,1650000
1950-06-15,18.93,1530000
1950-06-16,18.97,1180000
1950-06-19,18.92,1290000
1950-06-20,18.83,1470000
1950-06-21,19.00,1750000
1950-06-22,19.16,1830000
1950-06-23,19.14,1700000
1950-06-26,18.11,3950000
1950-06-27,17.91,4860000
1950-06-28,18.11,2600000
1950-06-29,17.44,3040000
1950-06-30,17.69,2660000
1950-07-03,17.64,1550000
1950-07-05,17.81,1400000
1950-07-06,17.91,1570000
1950-07-07,17.67,1870000
1950-07-10,17.59,1960000
1950-07-11,17.32,3250000
1950-07-12,16.87,3200000
1950-07-13,16.69,2660000
1950-07-14,16.87,1900000
1950-07-17,16.68,1520000
1950-07-18,17.06,1820000
1950-07-19,17.36,2430000
1950-07-20,17.61,3160000
1950-07-21,17.59,2810000
1950-07-24,17.48,2300000
1950-07-25,17.23,2770000
1950-07-26,17.27,2460000
1950-07-27,17.50,2300000
1950-07-28,17.69,2050000
1950-07-31,17.84,1590000
1950-08-01,18.02,1970000
1950-08-02,17.95,1980000
1950-08-03,17.99,1660000
1950-08-04,18.14,1600000
1950-08-07,18.41,1850000
1950-08-08,18.46,2180000
1950-08-09,18.61,1760000
1950-08-10,18.48,1870000
1950-08-11,18.28,1680000
1950-08-14,18.29,1280000
1950-08-15,18.32,1330000
1950-08-16,18.34,1770000
1950-08-17,18.54,2170000
1950-08-18,18.68,1780000
1950-08-21,18.70,1840000
1950-08-22,18.68,1550000
1950-08-23,18.82,1580000
1950-08-24,18.79,1620000
1950-08-25,18.54,1610000
1950-08-28,18.53,1300000
1950-08-29,18.54,1890000
1950-08-30,18.43,1490000
1950-08-31,18.42,1140000
1950-09-01,18.55,1290000
1950-09-05,18.68,1250000
1950-09-06,18.54,1300000
1950-09-07,18.59,1340000
1950-09-08,18.75,1960000
1950-09-11,18.61,1860000
1950-09-12,18.87,1680000
1950-09-13,19.09,2600000
1950-09-14,19.18,2350000
1950-09-15,19.29,2410000
1950-09-18,19.37,2040000
1950-09-19,19.31,1590000
1950-09-20,19.21,2100000
1950-09-21,19.37,1650000
1950-09-22,19.44,2510000
1950-09-25,19.42,2020000
1950-09-26,19.14,2280000
1950-09-27,19.41,2360000
1950-09-28,19.42,2200000
1950-09-29,19.45,1800000
1950-10-02,19.69,2200000
1950-10-03,19.66,2480000
1950-10-04,20.00,2920000
1950-10-05,19.89,2490000
1950-10-06,20.12,2360000
1950-10-09,20.00,2330000
1950-10-10,19.78,1870000
1950-10-11,19.86,2200000
1950-10-13,19.85,2030000
1950-10-16,19.71,1630000
1950-10-17,19.89,2010000
1950-10-18,20.01,2410000
1950-10-19,20.02,2250000
1950-10-20,19.96,1840000
1950-10-23,19.96,1850000
1950-10-24,20.08,1790000
1950-10-25,20.05,1930000
1950-10-26,19.61,3000000
1950-10-27,19.77,1800000
1950-10-30,19.61,1790000
1950-10-31,19.53,2010000
1950-11-01,19.56,1780000
1950-11-02,19.73,1580000
1950-11-03,19.85,1560000
1950-11-06,19.36,2580000
1950-11-08,19.56,1850000
1950-11-09,19.79,1760000
1950-11-10,19.94,1640000
1950-11-13,20.01,1630000
1950-11-14,19.86,1780000
1950-11-15,19.82,1620000
1950-11-16,19.72,1760000
1950-11-17,19.86,2130000
1950-11-20,19.93,2250000
1950-11-21,19.88,2010000
1950-11-22,20.16,2730000
1950-11-24,20.32,2620000
1950-11-27,20.18,1740000
1950-11-28,19.56,2970000
1950-11-29,19.37,2770000
1950-11-30,19.51,2080000
1950-12-01,19.66,1870000
1950-12-04,19.00,2510000
1950-12-05,19.31,1940000
1950-12-06,19.45,2010000
1950-12-07,19.40,1810000
1950-12-08,19.40,2310000
1950-12-11,19.72,2600000
1950-12-12,19.68,2140000
1950-12-13,19.67,2030000
1950-12-14,19.43,2660000
1950-12-15,19.33,2420000
1950-12-18,19.85,4500000
1950-12-19,19.96,3650000
1950-12-20,19.97,3510000
1950-12-21,19.98,3990000
